Interatomic distances:
1 0 8.895085
2 0 3.008616
2 1 5.886670
3 0 5.886670
3 1 3.008616
3 2 2.878132
4 0 2.891938
4 1 7.794899
4 2 2.870327
4 3 5.019042
5 0 7.794896
5 1 2.891940
5 2 5.019039
5 3 2.870325
5 4 5.894159
6 0 2.867232
6 1 7.804611
6 2 2.883648
6 3 5.032265
6 4 2.878065
6 5 6.644235
7 0 7.804611
7 1 2.867232
7 2 5.032265
7 3 2.883648
7 4 6.644241
7 5 2.878072
7 6 7.569657
8 0 2.858928
8 1 7.793206
8 2 2.892434
8 3 5.034805
8 4 4.661639
8 5 7.556525
8 6 2.871334
8 7 7.493455
9 0 7.793206
9 1 2.858928
9 2 5.034805
9 3 2.892434
9 4 7.556530
9 5 4.661641
9 6 7.493455
9 7 2.871334
9 8 6.512595
10 0 7.772061
10 1 2.845683
10 2 5.012422
10 3 2.859084
10 4 7.463219
10 5 4.654833
10 6 6.504758
10 7 4.624754
10 8 5.896635
10 9 2.846954
11 0 2.845680
11 1 7.772053
11 2 2.859074
11 3 5.012413
11 4 4.654832
11 5 7.463211
11 6 4.624743
11 7 6.504753
11 8 2.846941
11 9 5.896629
11 10 6.579572
12 0 7.813556
12 1 2.840297
12 2 5.039072
12 3 2.865225
12 4 6.500526
12 5 2.846037
12 6 5.944485
12 7 4.624151
12 8 6.665877
12 9 4.650839
12 10 2.906250
12 11 7.538703
13 0 2.840288
13 1 7.813556
13 2 2.865219
13 3 5.039070
13 4 2.846037
13 5 6.500526
13 6 4.624141
13 7 5.944488
13 8 4.650832
13 9 6.665878
13 10 7.538712
13 11 2.906251
13 12 7.481031
14 0 5.089124
14 1 5.089124
14 2 2.837573
14 3 2.837573
14 4 2.947085
14 5 2.947082
14 6 4.188758
14 7 4.188758
14 8 5.547229
14 9 5.547229
14 10 5.480723
14 11 5.480716
14 12 4.062954
14 13 4.062951
15 0 5.060434
15 1 5.057504
15 2 2.804661
15 3 2.795916
15 4 4.046554
15 5 4.158832
15 6 2.965406
